Gene;Entrez;NumSucc;NumTrials;Average;PVal;CumPosition;QValue
ALDH2;217;9;27;0,92039292;0,000159417;296;0,012051938
NQO1;1728;20;103;0,92039292;0,000165238;297;0,012449336
RAC2;5880;21;111;0,92039292;0,000168641;298;0,012662785
TP53INP1;94241;18;88;0,92039292;0,000173812;299;0,013006922
SNAP23;8773;18;88;0,92039292;0,000173812;300;0,012963566
DAPK2;23604;19;96;0,92039292;0,000183442;301;0,013635319
EPHX1;2052;17;81;0,92039292;0,000187781;302;0,013911178
EPS8;2059;20;104;0,92039292;0,000189396;303;0,013984337
ANXA7;310;22;120;0,92039292;0,000192097;304;0,014136774
ATP6V1D;51382;22;120;0,92039292;0,000192097;305;0,014090424
SORBS1;10580;21;112;0,92039292;0,000192121;306;0,01404613
SLC6A6;6533;21;112;0,92039292;0,000192121;307;0,014000377
MOB3A;126308;19;97;0,92039292;0,00021124;308;0,015341438
MT1F;4494;9;28;0,92039292;0,000218359;309;0,015806284
GJA1;2697;21;113;0,92039292;0,000218429;310;0,015760322
NAAA;27163;21;113;0,92039292;0,000218429;311;0,015709646
PLPP1;8611;21;113;0,92039292;0,000218429;312;0,015659295
GZMK;3003;18;90;0,92039292;0,000233619;313;0,016692836
SLC41A2;84102;18;90;0,92039292;0,000233619;314;0,016639674
F13A1;2162;19;98;0,92039292;0,000242655;315;0,017227174
RRAGC;64121;19;98;0,92039292;0,000242655;316;0,017172658
RRBP1;6238;22;122;0,92039292;0,000245353;317;0,017308499
NEK6;10783;20;106;0,92039292;0,000247174;318;0,017381848
C2;717;17;83;0,92039292;0,000255675;319;0,017922148
CRIPAK;285464;8;23;0,92039292;0,00026514;320;0,0185262
ZFYVE21;79038;18;91;0,92039292;0,000269738;321;0,018788048
TNFSF13B;10673;16;76;0,92039292;0,000276145;322;0,019173657
IRF5;3663;19;99;0,92039292;0,000278074;323;0,019247569
VSIR;64115;19;99;0,92039292;0,000278074;324;0,019188163
DUSP3;1845;19;99;0,92039292;0,000278074;325;0,019129123
NUMA1;4926;21;115;0,92039292;0,000280691;326;0,019249523
CNN3;1266;21;115;0,92039292;0,000280691;327;0,019190656
ANKRD13A;88455;20;107;0,92039292;0,000281457;328;0,019184244
TMEM63A;9725;20;107;0,92039292;0,000281457;329;0,019125933
PFKP;5214;20;107;0,92039292;0,000281457;330;0,019067976
PON2;5445;20;107;0,92039292;0,000281457;331;0,019010368
ZNF367;195828;18;92;0,92039292;0,000310618;332;0,02091205
IRF8;3394;21;116;0,92039292;0,000317281;333;0,021295439
WASF2;10163;21;116;0,92039292;0,000317281;334;0,02123168
S100A1;6271;19;100;0,92039292;0,000317919;335;0,021210733
STAT1;6772;19;100;0,92039292;0,000317919;336;0,021147606
APBB1IP;54518;19;100;0,92039292;0,000317919;337;0,021084853
CD4;920;19;100;0,92039292;0,000317919;338;0,021022472
ITM2B;9445;20;108;0,92039292;0,000319824;339;0,021085781
PLXNB2;23654;20;108;0,92039292;0,000319824;340;0,021023764
ITGAM;3684;11;42;0,92039292;0,000340027;341;0,022282769
CTSH;1512;17;85;0,92039292;0,000343926;342;0,02247173
CST7;8530;17;85;0,92039292;0,000343926;343;0,022406215
NPL;80896;18;93;0,92039292;0,000356772;344;0,023173222
SERINC3;10955;21;117;0,92039292;0,000357974;345;0,023183736
TAPBP;6892;19;101;0,92039292;0,000362641;346;0,023417258
CNTRL;11064;20;109;0,92039292;0,000362676;347;0,023351985
SNCG;6623;20;109;0,92039292;0,000362676;348;0,023284881
CDH1;999;20;109;0,92039292;0,000362676;349;0,023218162
FAM26F;441168;16;78;0,92039292;0,000376619;350;0,024039321
ZNF274;10782;9;30;0,92039292;0,000390843;351;0,024873408
C10orf10;11067;17;86;0,92039292;0,000397163;352;0,025202603
CYGB;114757;17;86;0,92039292;0,000397163;353;0,025131208
EFEMP2;30008;17;86;0,92039292;0,000397163;354;0,025060216
PPT1;5538;21;118;0,92039292;0,000403151;355;0,02536521
ECH1;1891;21;118;0,92039292;0,000403151;356;0,02529396
F3;2152;20;110;0,92039292;0,000410442;357;0,025677862
APP;351;20;110;0,92039292;0,000410442;358;0,025606136
SLC14A1;6563;20;110;0,92039292;0,000410442;359;0,02553481
TIMP3;7078;20;110;0,92039292;0,000410442;360;0,02546388
DERL1;79139;20;110;0,92039292;0,000410442;361;0,025393343
GCNT2;2651;19;102;0,92039292;0,00041273;362;0,025463923
GRAMD1C;54762;13;57;0,92039292;0,00044577;363;0,027419577
BIN2;51411;13;57;0,92039292;0,00044577;364;0,027344248
FN1;2335;21;119;0,92039292;0,000453216;365;0,027723278
TMEM173;340061;17;87;0,92039292;0,000457361;366;0,027899499
F11R;50848;20;111;0,92039292;0,000463585;367;0,028200774
OPLAH;26873;20;111;0,92039292;0,000463585;368;0,028124141
ATF7IP;55729;20;111;0,92039292;0,000463585;369;0,028047924
PLA2G16;11145;20;111;0,92039292;0,000463585;370;0,027972119
ALDH6A1;4329;20;111;0,92039292;0,000463585;371;0,027896722
DBP;1628;19;103;0,92039292;0,000468711;372;0,028128229
SSFA2;6744;19;103;0,92039292;0,000468711;373;0,028052819
TRAF3IP2;10758;19;103;0,92039292;0,000468711;374;0,027977811
CYTH4;27128;15;72;0,92039292;0,00047618;375;0,028346194
RAP1GAP2;23108;16;80;0,92039292;0,000507068;376;0,030097488
DOCK10;55619;16;80;0,92039292;0,000507068;377;0,030017653
NAP1L2;4674;14;65;0,92039292;0,000509454;378;0,030078585
MYD88;4615;20;112;0,92039292;0,000522599;379;0,030770157
RELA;5970;20;112;0,92039292;0,000522599;380;0,030689183
GLTP;51228;20;112;0,92039292;0,000522599;381;0,030608634
SASH3;54440;17;88;0,92039292;0,000525253;382;0,030682901
CKB;1152;19;104;0,92039292;0,000531146;383;0,030944719
NT5E;4907;19;104;0,92039292;0,000531146;384;0,030864134
FCHO2;115548;19;104;0,92039292;0,000531146;385;0,030783967
ACTR3B;57180;13;58;0,92039292;0,000533019;386;0,030812059
GALNT15;117248;12;51;0,92039292;0,000540824;387;0,03118054
TCN2;6948;21;121;0,92039292;0,000569781;388;0,032758058
PLSCR4;57088;16;81;0,92039292;0,000585662;389;0,033580417
ACAD11;84129;16;81;0,92039292;0,000585662;390;0,033494313
HCST;10870;16;81;0,92039292;0,000585662;391;0,03340865
LY6E;4061;20;113;0,92039292;0,000588012;392;0,033456578
BMP6;654;19;105;0,92039292;0,000600638;393;0,034084686
DUSP6;1848;19;105;0,92039292;0,000600638;394;0,033998177
SLC30A7;148867;17;89;0,92039292;0,000601627;395;0,033967642
KIAA0754;643314;17;89;0,92039292;0,000601627;396;0,033881865
TPD52L1;7164;18;97;0,92039292;0,000605863;397;0,034033399
TM7SF3;51768;18;97;0,92039292;0,000605863;398;0,033947888
VOPP1;81552;18;97;0,92039292;0,000605863;399;0,033862805
NINJ1;4814;21;122;0,92039292;0,000637236;400;0,035518658
RHOC;389;15;74;0,92039292;0,000646125;401;0,035921847
CSF1;1435;20;114;0,92039292;0,000660387;402;0,036619416
RAB27A;5873;20;114;0,92039292;0,000660387;403;0,036528549
CIRBP;1153;19;106;0,92039292;0,000677832;404;0,037395628
RAI14;26064;19;106;0,92039292;0,000677832;405;0,037303293
RPL18A;6142;19;106;0,92039292;0,000677832;406;0,037211413
ABHD4;63874;19;106;0,92039292;0,000677832;407;0,037119985
NUDT16;131870;17;90;0,92039292;0,000687327;408;0,037544961
PBXIP1;57326;17;90;0,92039292;0,000687327;409;0,037453164
CRY2;1408;18;98;0,92039292;0,000687585;410;0,037375771
RPL4;6124;20;115;0,92039292;0,000740323;411;0,040128279
GRINA;2907;20;115;0,92039292;0,000740323;412;0,040030881
DCN;1634;20;115;0,92039292;0,000740323;413;0,039933954
RPL34;6164;13;60;0,92039292;0,000751258;414;0,04042251
