Analysis,Mann_Whitney_Statistic,Mann_Whitney_P_Value,Mean_Age_Shift,Mean_Gene_Age,Mean_Baseline_Age
Upregulated,13844687.5,7.608775895754727e-10,-1.031022822743135,6.769974226804123,7.8009970495472585
Downregulated,8185401.0,7.181672317573979e-39,-2.4688937285140478,5.332103321033211,7.8009970495472585
Combined,21883569.5,1.0516723344025345e-36,-1.6253574924644028,6.175639557082856,7.8009970495472585
